index,選挙区名,議員氏名,別名,twitter_id,twitter_name,twitter_follower,twitter_follow,youtube_id,youtube_name,youtube_follower,youtube_video_num,読み方,会派,任期満了,＜正字＞
72,長野県,杉尾 秀哉,,@TeamSugioHideya,杉尾ひでや 参議院議員 長野県選出,10000,1735,,,,,すぎお ひでや,立憲,令和10年7月25日,
73,岐阜県,大野 泰正,,@ohno_yasutada,大野泰正(参議院議員),1109,2759,,,,,おおの やすただ,自民,令和7年7月28日,＜正字＞
74,岐阜県,渡辺 猛之,,@w_takeyuki,渡辺猛之(わたなべたけゆき)【参議院議員・岐阜選挙区】,880,70,,,,,わたなべ たけゆき,自民,令和10年7月25日,
75,静岡県,榛葉 賀津也,,@SHIMBA_OFFICE,参議院議員 榛葉賀津也,11000,421,,,,,しんば かづや,民主,令和7年7月28日,
76,静岡県,牧野 たかお,牧野 京夫,@makinotakao,牧野たかお事務所,1475,28,,,,,まきの たかお,自民,令和7年7月28日,
77,静岡県,平山 佐知子,,@hirayamasachiko,参議院議員 平山佐知子【静岡県選出】,2534,279,,,,,ひらやま さちこ,無所属,令和10年7月25日,
78,静岡県,若林 洋平,,@w_youhei,若林ようへい,6347,637,,,,,わかばやし ようへい,自民,令和10年7月25日,
79,愛知県,大塚 耕平,,@kouhei1005mon,大塚耕平,23000,39,,,,,おおつか こうへい,民主,令和7年7月28日,
80,愛知県,酒井 庸行,,@YasuyukiSakai,酒井やすゆき,1216,15,,,,,さかい やすゆき,自民,令和7年7月28日,
81,愛知県,田島 麻衣子,,@maiko_tajima,参議院議員 田島まいこ,15000,1178,@user-th5eo2kr1s,田島まいこチャンネル,192,45,たじま まいこ,立憲,令和7年7月28日,
82,愛知県,安江 伸夫,,@yasue_nobuo,安江のぶお（安江伸夫),7176,1527,,,,,やすえ のぶお,公明,令和7年7月28日,
83,愛知県,伊藤 孝恵,,@itotakae0630,伊藤たかえ（国民民主党 参議院議員）,19000,2183,@itoutakae,伊藤たかえちゃんねる,7790,801,いとう たかえ,民主,令和10年7月25日,
84,愛知県,斎藤 嘉隆,,@saito_yoshitaka,斉藤よしたか（斎藤嘉隆）参議院議員,2679,213,,,,,さいとう よしたか,立憲,令和10年7月25日,＜正字＞
85,愛知県,里見 隆治,,@satomi_ryuji,里見りゅうじ,11000,2034,,,,,さとみ りゅうじ,公明,令和10年7月25日,
86,愛知県,藤川 政人,,@FujikawaSangiin,参議院議員藤川政人事務所,2366,166,,,,,ふじかわ まさひと,自民,令和10年7月25日,
87,三重県,吉川 ゆうみ,吉川 有美,@YoshikawaYuumi,吉川ゆうみ,4375,1549,,,,,よしかわ ゆうみ,自民,令和7年7月28日,
88,三重県,山本 佐知子,,@sachikoy1024,山本さちこ(山本佐知子),1683,480,,,,,やまもと さちこ,自民,令和10年7月25日,
89,滋賀県,嘉田 由紀子,,@kadayukiko,嘉田由紀子,2168,33,,,,,かだ ゆきこ,民主,令和7年7月28日,
90,滋賀県,こやり 隆史,小鑓 隆史,@koyari_shiga,こやり隆史 参議院議員(滋賀県選出),3097,1231,,,,,こやり たかし,自民,令和10年7月25日,
91,京都府,倉林 明子,,@kurabayashia,倉林明子,19000,2325,,,,,くらばやし あきこ,共産,令和7年7月28日,
92,京都府,西田 昌司,,@j_shoujinishida,西田昌司事務所,48000,122,@shoujinishida,西田昌司チャンネル,140000,1042,にしだ しょうじ,自民,令和7年7月28日,
93,京都府,福山 哲郎,,@fuku_tetsu,福山哲郎・立憲民主党,91000,952,,,,,ふくやま てつろう,立憲,令和10年7月25日,
94,京都府,吉井 章,,@Yoshiiakira0102,吉井 章（よしい あきら）参議院議員 自民党 京都府選挙区】,1656,194,,,,,よしい あきら,自民,令和10年7月25日,＜正字＞
95,大阪府,東 徹,,@toru_azuma,東　とおる(参議院議員),15000,548,@user-fd6pe3dx3l,維新伝心 東とおるちゃんネル,805,418,あずま とおる,維新,令和7年7月28日,
96,大阪府,梅村 みずほ,,@mizuho_ishin,梅村みずほ 【STOP！児童虐待】参議院議員 大阪府選挙区,30000,980,,,,,うめむら みずほ,維新,令和7年7月28日,
97,大阪府,太田 房江,齊藤 房江,@fusaeoota,太田房江,6088,204,,,,,おおた ふさえ,自民,令和7年7月28日,
98,大阪府,杉 久武,,@hisatake_sugi,参議院議員 杉ひさたけ,11000,4924,,,,,すぎ ひさたけ,公明,令和7年7月28日,
99,大阪府,浅田 均,,@asalogue,浅田 均（参議院議員）,17000,9,,,,,あさだ ひとし,維新,令和10年7月25日,
100,大阪府,石川 博崇,,@Hiro_Ishikawa,石川　ひろたか（参議院・大阪選挙区,27000,11000,,,,,いしかわ ひろたか,公明,令和10年7月25日,
101,大阪府,高木 かおり,高木 佳保里,@takagi_kaori_,高木 かおり（日本維新の会 参議院議員）,7161,585,,,,,たかぎ かおり,維新,令和10年7月25日,＜正字＞
102,大阪府,松川 るい,新居 るい,@Matsukawa_Rui,松川るい =自民党=,114000,1178,,,,,まつかわ るい,自民,令和10年7月25日,
103,兵庫県,加田 裕之,,@kadahiroyuki,加田裕之 かだひろゆき 参議院議員（自民党・兵庫県）,6777,8129,,,,,かだ ひろゆき,自民,令和7年7月28日,
104,兵庫県,清水 貴之,,@CoTakayuki,清水貴之 参議院議員(兵庫県選挙区)日本維新の会,5920,327,,,,,しみず たかゆき,維新,令和7年7月28日,
105,兵庫県,高橋 光男,,@takahashimitsu7,高橋みつお TAKAHASHI Mitsuo,18000,5456,,,,,たかはし みつお,公明,令和7年7月28日,
106,兵庫県,伊藤 孝江,,@ito_takae,伊藤たかえ（参議院議員）,20000,1225,,,,,いとう たかえ,公明,令和10年7月25日,
107,兵庫県,片山 大介,,@d_katayama1006,片山 大介（日本維新の会・参議院議員、兵庫維新の会・代表),5991,1156,,,,,かたやま だいすけ,維新,令和10年7月25日,
108,兵庫県,末松 信介,,@SSS_suematsu,末松 信介【前文部科学大臣/参議院議員(兵庫県選挙区)】,3555,117,,,,,すえまつ しんすけ,自民,令和10年7月25日,
109,奈良県,堀井 巌,,@iwaonarajp,堀井いわお,3191,91,,,,,ほりい いわお,自民,令和7年7月28日,
110,奈良県,佐藤 啓,,@sato_kei_nara,佐藤 啓 （さとうけい）｜ 参議院議員 （奈良県選挙区,12000,408,,,,,さとう けい,自民,令和10年7月25日,
111,和歌山県,世耕 弘成,,@SekoHiroshige,世耕弘成 Hiroshige SEKO,281000,1985,,,,,せこう ひろしげ,自民,令和7年7月28日,
112,和歌山県,鶴保 庸介,,@TsuruhoYosuke,鶴保庸介,560,3,,,,,つるほ ようすけ,自民,令和10年7月25日,
113,鳥取県・島根県,舞立 昇治,,,,,,@Maitachi,まいたち昇治,39,17,まいたち しょうじ,自民,令和7年7月28日,
114,鳥取県・島根県,青木 一彦,,@kazuhiko__aoki,参議院議員 青木一彦【公式ツイッター】,602,49,,,,,あおき かずひこ,自民,令和10年7月25日,
115,岡山県,石井 正弘,,@ehbErbTKhqNe236,石井正弘,22,49,,,,,いしい まさひろ,自民,令和7年7月28日,
116,岡山県,小野田 紀美,,@onoda_kimi,小野田紀美【参議院議員/岡山】,486000,222,,,,,おのだ きみ,自民,令和10年7月25日,
117,広島県,宮口 治子,福田 治子,@miyaguchiharuko,宮口治子,6114,224,,,,,みやぐち はるこ,立憲,令和7年7月28日,
118,広島県,森本 真治,,@Morimoto_Shinji,森本しんじ,2369,285,,,,,もりもと しんじ,立憲,令和7年7月28日,
119,広島県,三上 えり,川堀 絵里,@erimikami0611,三上えり｜参議院広島選挙区,1339,165,,,,,みかみ えり,立憲,令和10年7月25日,
120,広島県,宮沢 洋一,,@miyazawa_yoichi,宮沢洋一,851,79,,,,,みやざわ よういち,自民,令和10年7月25日,
121,山口県,北村 経夫,,@KitamuraOffice,北村つねお(参議院議員山口県選出) 公式,3977,3057,,,,,きたむら つねお,自民,令和7年7月28日,
122,山口県,江島 潔,,@AGP1957,江島潔,2640,2408,,,,,えじま きよし,自民,令和10年7月25日,
123,香川県,三宅 伸吾,,@miyakeshingo,三宅しんご　Miyake　Shingo,3907,2141,,,,,みやけ しんご,自民,令和7年7月28日,
124,香川県,磯崎 仁彦,,@isozakiyoshi,いそざき仁彦（いそざきよしひこ）,3159,213,,,,,いそざき よしひこ,自民,令和10年7月25日,＜正字＞
125,愛媛県,ながえ 孝子,永江 孝子,@takakonagae,ながえ孝子（永江孝子）参議院議員,4163,3840,,,,,ながえ たかこ,無所属,令和7年7月28日,
126,愛媛県,山本 順三,,@junzo_yamamoto,山本　順三,1513,320,,,,,やまもと じゅんぞう,自民,令和10年7月25日,
127,徳島県・高知県,中西 祐介,,@nakanishiyusuke,中西祐介(前総務副大臣・徳島高知合区選挙区 参議院議員),2476,52,,,,,なかにし ゆうすけ,自民,令和10年7月25日,
128,福岡県,下野 六太,,@shimonorokuta,しもの六太,4798,1295,,,,,しもの ろくた,公明,令和7年7月28日,
129,福岡県,野田 国義,,@nodakuniyoshi,野田くによし,1051,35,,,,,のだ くによし,立憲,令和7年7月28日,
130,福岡県,松山 政司,,,,,,,,,,まつやま まさじ,自民,令和7年7月28日,
131,福岡県,秋野 公造,,@akinokozo,あきの公造（参議院議員｜福岡県選挙区）,16000,668,,,,,あきの こうぞう,公明,令和10年7月25日,
132,福岡県,大家 敏志,,@satoshi_oie,大家 敏志 【2023年7月 福岡9区自民党員選挙で勝利】,2367,2335,,,,,おおいえ さとし,自民,令和10年7月25日,
133,福岡県,古賀 之士,,@koga_yukihito,古賀ゆきひと,1035,92,,,,,こが ゆきひと,立憲,令和10年7月25日,
134,佐賀県,山下 雄平,,@Yuhey4YOU,山下 雄平(やました ゆうへい)/参議院議員(２期)/自民党/佐賀,1878,203,,,,,やました ゆうへい,自民,令和7年7月28日,
135,佐賀県,福岡 資麿,,@fukuokatakamaro,福岡たかまろ,994,2,,,,,ふくおか たかまろ,自民,令和10年7月25日,
136,長崎県,古賀 友一郎,,@KogaYuichiro_O,古賀友一郎,539,35,,,,,こが ゆういちろう,自民,令和7年7月28日,
137,長崎県,山本 啓介,,,,,,,,,,やまもと けいすけ,自民,令和10年7月25日,
138,熊本県,馬場 成志,,,,,,,,,,ばば せいし,自民,令和7年7月28日,
139,熊本県,松村 祥史,,,,,,,,,,まつむら よしふみ,自民,令和10年7月25日,
140,大分県,白坂 亜紀,中山 亜紀,@shirasaka_aki,白坂亜紀（しらさかあき）後援会,1782,114,,,,,しらさか あき,自民,令和7年7月28日,
141,大分県,古庄 玄知,,@koshoharutomo,古庄（こしょう）はるとも 参議院議員,925,488,,,,,こしょう はるとも,自民,令和10年7月25日,
142,宮崎県,長峯 誠,,,,,,,,,,ながみね まこと,自民,令和7年7月28日,
143,宮崎県,松下 新平,,@shinpeim,松下新平／Matsushita,5358,4174,,,,,まつした しんぺい,自民,令和10年7月25日,
144,鹿児島県,尾辻 秀久,,,,,,,,,,おつじ ひでひさ,無所属,令和7年7月28日,＜正字＞
145,鹿児島県,野村 哲郎,,@nomura_koho,のむら哲郎(鹿児島県選挙区),517,33,,,,,のむら てつろう,自民,令和10年7月25日,
146,沖縄県,高良 鉄美,,@takaratetsumi19,タカラ鉄美　参議院議員,3428,638,,,,,たから てつみ,沖縄,令和7年7月28日,＜正字＞
147,沖縄県,伊波 洋一,,@ihayoichi,イハ 洋一 (伊波洋一）参議院議員,24000,5717,,,,,いは よういち,沖縄,令和10年7月25日,
